round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,4,0.1850341047955359,120.03465747833252,52468,0.9086842105263158,0.9096739636278526,0.9086842105263158,0.9088039080205584,0.9088039080205584,0.9086842105263158,0.0,0.2724410241641918
2,4,0.140176771288147,120.42317056655884,52468,0.9236842105263158,0.92466886558094,0.9236842105263158,0.9237152504139836,0.9237152504139836,0.9236842105263158,0.0,0.2177121805167999
3,4,0.1243994995474633,120.8806824684143,52468,0.9286842105263158,0.9293397998740688,0.9286842105263158,0.9287584457204384,0.9287584457204384,0.9286842105263158,0.0,0.2027682812274003
4,4,0.1153655459922624,119.99904489517212,52468,0.9322368421052633,0.9331041142163288,0.9322368421052633,0.932302784425365,0.932302784425365,0.9322368421052633,0.0,0.1953669828401894
5,4,0.1074290227258532,120.48818898200987,52468,0.9365789473684212,0.9373852269762812,0.9365789473684212,0.9366854053319802,0.9366854053319802,0.9365789473684212,0.0,0.1910598275541257
6,4,0.0997010151106046,119.7936463356018,52468,0.9365789473684212,0.9372420128677096,0.9365789473684212,0.9367103398742008,0.9367103398742008,0.9365789473684212,0.0,0.187902032546386
7,4,0.0920117104917242,119.06151223182678,52468,0.9385526315789474,0.9392259939902337,0.9385526315789474,0.9386375191531928,0.9386375191531926,0.9385526315789474,0.0,0.1852226865579601
8,4,0.0861606472080982,119.78329515457152,52468,0.9386842105263158,0.9396251059429016,0.9386842105263156,0.9388194892905452,0.9388194892905452,0.9386842105263158,0.0,0.1834884741100944
9,4,0.0811290796908618,119.16344547271729,52468,0.9414473684210526,0.9422761068728948,0.9414473684210526,0.9415374518400424,0.9415374518400426,0.9414473684210526,0.0,0.1828685349025646
10,4,0.07460901131172,119.17725086212158,52468,0.9403947368421052,0.9412724101876416,0.9403947368421052,0.9405115739845598,0.9405115739845596,0.9403947368421052,0.0,0.1854030436077037
11,4,0.0713206648497229,121.08654308319092,52468,0.9401315789473684,0.9409783825030896,0.9401315789473684,0.9402553359149636,0.9402553359149636,0.9401315789473684,0.0,0.1870943017992652
12,4,0.06590715813586806,120.60869431495667,52468,0.9397368421052632,0.9407175093229823,0.9397368421052632,0.9398524110908011,0.9398524110908012,0.9397368421052632,0.0,0.19071270851027064
