round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,1,0.2835581240901614,12.034505605697632,5415,0.9086842105263158,0.9096739636278526,0.9086842105263158,0.9088039080205584,0.9088039080205584,0.9086842105263158,0.0,0.2724410241641918
2,1,0.162540750862921,12.21007752418518,5415,0.9236842105263158,0.92466886558094,0.9236842105263158,0.9237152504139836,0.9237152504139836,0.9236842105263158,0.0,0.2177121805167999
3,1,0.1412692680735798,12.21600103378296,5415,0.9286842105263158,0.9293397998740688,0.9286842105263158,0.9287584457204384,0.9287584457204384,0.9286842105263158,0.0,0.2027682812274003
4,1,0.1318263561190927,12.0207941532135,5415,0.9322368421052633,0.9331041142163288,0.9322368421052633,0.932302784425365,0.932302784425365,0.9322368421052633,0.0,0.1953669828401894
5,1,0.1197530694525031,12.09257745742798,5415,0.9365789473684212,0.9373852269762812,0.9365789473684212,0.9366854053319802,0.9366854053319802,0.9365789473684212,0.0,0.1910598275541257
6,1,0.1190395650399081,12.230414390563965,5415,0.9365789473684212,0.9372420128677096,0.9365789473684212,0.9367103398742008,0.9367103398742008,0.9365789473684212,0.0,0.187902032546386
7,1,0.1136417397352702,11.984524488449097,5415,0.9385526315789474,0.9392259939902337,0.9385526315789474,0.9386375191531928,0.9386375191531926,0.9385526315789474,0.0,0.1852226865579601
8,1,0.1128816512796808,12.30325484275818,5415,0.9386842105263158,0.9396251059429016,0.9386842105263156,0.9388194892905452,0.9388194892905452,0.9386842105263158,0.0,0.1834884741100944
9,1,0.1122109661645749,12.093200922012327,5415,0.9414473684210526,0.9422761068728948,0.9414473684210526,0.9415374518400424,0.9415374518400426,0.9414473684210526,0.0,0.1828685349025646
10,1,0.1123044029973885,12.18434715270996,5415,0.9403947368421052,0.9412724101876416,0.9403947368421052,0.9405115739845598,0.9405115739845596,0.9403947368421052,0.0,0.1854030436077037
11,1,0.1026781029643162,12.258309841156006,5415,0.9401315789473684,0.9409783825030896,0.9401315789473684,0.9402553359149636,0.9402553359149636,0.9401315789473684,0.0,0.1870943017992652
12,1,0.1070647861370269,12.240180015563965,5415,0.9397368421052632,0.9407175093229823,0.9397368421052632,0.9398524110908011,0.9398524110908012,0.9397368421052632,0.0,0.19071270851027064
