round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,0,0.2014127864026675,59.10522723197937,25224,0.9086842105263158,0.9096739636278526,0.9086842105263158,0.9088039080205584,0.9088039080205584,0.9086842105263158,0.0,0.2724410241641918
2,0,0.1446356088990116,62.0188148021698,25224,0.9236842105263158,0.92466886558094,0.9236842105263158,0.9237152504139836,0.9237152504139836,0.9236842105263158,0.0,0.2177121805167999
3,0,0.1304228560401761,62.02950429916382,25224,0.9286842105263158,0.9293397998740688,0.9286842105263158,0.9287584457204384,0.9287584457204384,0.9286842105263158,0.0,0.2027682812274003
4,0,0.1246394439162485,62.39140152931213,25224,0.9322368421052633,0.9331041142163288,0.9322368421052633,0.932302784425365,0.932302784425365,0.9322368421052633,0.0,0.1953669828401894
5,0,0.1139380068049609,62.46138405799866,25224,0.9365789473684212,0.9373852269762812,0.9365789473684212,0.9366854053319802,0.9366854053319802,0.9365789473684212,0.0,0.1910598275541257
6,0,0.1083216831720751,61.82934522628784,25224,0.9365789473684212,0.9372420128677096,0.9365789473684212,0.9367103398742008,0.9367103398742008,0.9365789473684212,0.0,0.187902032546386
7,0,0.1029334344460861,62.7403461933136,25224,0.9385526315789474,0.9392259939902337,0.9385526315789474,0.9386375191531928,0.9386375191531926,0.9385526315789474,0.0,0.1852226865579601
8,0,0.0992807189264678,61.959736347198486,25224,0.9386842105263158,0.9396251059429016,0.9386842105263156,0.9388194892905452,0.9388194892905452,0.9386842105263158,0.0,0.1834884741100944
9,0,0.0965881590862464,61.72698855400085,25224,0.9414473684210526,0.9422761068728948,0.9414473684210526,0.9415374518400424,0.9415374518400426,0.9414473684210526,0.0,0.1828685349025646
10,0,0.0932279613874711,63.03899264335632,25224,0.9403947368421052,0.9412724101876416,0.9403947368421052,0.9405115739845598,0.9405115739845596,0.9403947368421052,0.0,0.1854030436077037
11,0,0.0883062858469737,61.67385506629944,25224,0.9401315789473684,0.9409783825030896,0.9401315789473684,0.9402553359149636,0.9402553359149636,0.9401315789473684,0.0,0.1870943017992652
12,0,0.08850609831729164,61.68350601196289,25224,0.9397368421052632,0.9407175093229823,0.9397368421052632,0.9398524110908011,0.9398524110908012,0.9397368421052632,0.0,0.19071270851027064
