round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,4,0.3168865213544858,103.80929017066956,7084,0.8822,0.8817063416366645,0.3068512973309478
2,4,0.2394466405528393,103.98262786865234,7084,0.90176,0.9015929599539444,0.267943892658939
3,4,0.2012491866643488,103.8283281326294,7084,0.90836,0.908275008209647,0.2664245392219119
4,4,0.1832553640714348,105.29217910766602,7084,0.9126,0.9125358602372586,0.2664263610723914
5,4,0.1638396839794133,107.17495822906494,7084,0.91348,0.9134051508762112,0.274240553188385
6,4,0.1450812687454051,107.78038787841795,7084,0.91636,0.9163271969142784,0.3013230171328695
7,4,0.1318965223922686,107.66612219810486,7084,0.91664,0.9166175734625586,0.3318906775553563
8,4,0.1106062531134883,108.22790956497192,7084,0.91388,0.9138145375217068,0.3554981938936888
9,4,0.0905243773223584,109.32580494880676,7084,0.9134,0.9133412382882043,0.3803999206326516
10,4,0.0807406488074406,109.4564106464386,7084,0.91196,0.9118883308141563,0.3859801697696697
