round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,2,0.4222742775068854,25.34434223175049,1734,0.8822,0.8817063416366645,0.3068512973309478
2,2,0.279687302796522,25.45173978805542,1734,0.90176,0.9015929599539444,0.267943892658939
3,2,0.2470410972498872,25.42650604248047,1734,0.90836,0.908275008209647,0.2664245392219119
4,2,0.2365276612135397,25.93227195739746,1734,0.9126,0.9125358602372586,0.2664263610723914
5,2,0.2132386595422771,25.943766355514526,1734,0.91348,0.9134051508762112,0.274240553188385
6,2,0.2091005322295949,26.988300323486328,1734,0.91636,0.9163271969142784,0.3013230171328695
7,2,0.2164476840726791,26.53404903411865,1734,0.91664,0.9166175734625586,0.3318906775553563
8,2,0.2221186787302043,27.166428804397583,1734,0.91388,0.9138145375217068,0.3554981938936888
9,2,0.2071342868837721,26.62639713287353,1734,0.9134,0.9133412382882043,0.3803999206326516
10,2,0.20446826821871206,26.591315746307373,1734,0.91196,0.9118883308141563,0.3859801697696697
