round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,0,0.183765694827083,102.78372478485107,6904,0.8822,0.8817063416366645,0.3068512973309478
2,0,0.1323879074525446,101.2937035560608,6904,0.90176,0.9015929599539444,0.267943892658939
3,0,0.1153977471182548,102.8323814868927,6904,0.90836,0.908275008209647,0.2664245392219119
4,0,0.1008993468030441,103.33073401451112,6904,0.9126,0.9125358602372586,0.2664263610723914
5,0,0.0908596772929331,103.34217977523804,6904,0.91348,0.9134051508762112,0.274240553188385
6,0,0.0791685580861941,104.63590621948242,6904,0.91636,0.9163271969142784,0.3013230171328695
7,0,0.0700598540753644,104.2531156539917,6904,0.91664,0.9166175734625586,0.3318906775553563
8,0,0.0591262163700123,105.50555658340454,6904,0.91388,0.9138145375217068,0.3554981938936888
9,0,0.0486930750508988,105.16805863380432,6904,0.9134,0.9133412382882043,0.3803999206326516
10,0,0.04360705118535706,106.7495801448822,6904,0.91196,0.9118883308141563,0.3859801697696697
