round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,1,0.3409213143236497,64.10190987586975,4345,0.8822,0.8817063416366645,0.3068512973309478
2,1,0.2571061437620836,63.78609037399292,4345,0.90176,0.9015929599539444,0.267943892658939
3,1,0.2238778542069827,63.70282959938049,4345,0.90836,0.908275008209647,0.2664245392219119
4,1,0.211515683461638,64.28995060920715,4345,0.9126,0.9125358602372586,0.2664263610723914
5,1,0.2059625157100313,65.47964525222778,4345,0.91348,0.9134051508762112,0.274240553188385
6,1,0.1817131949698223,66.24863719940186,4345,0.91636,0.9163271969142784,0.3013230171328695
7,1,0.1772668425212888,66.81902885437012,4345,0.91664,0.9166175734625586,0.3318906775553563
8,1,0.1621419391868745,66.54848146438599,4345,0.91388,0.9138145375217068,0.3554981938936888
9,1,0.1646477772361215,67.11705279350281,4345,0.9134,0.9133412382882043,0.3803999206326516
10,1,0.14251785613048604,66.09722638130188,4345,0.91196,0.9118883308141563,0.3859801697696697
