round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,3,0.3688161021500005,72.34938764572144,4933,0.8822,0.8817063416366645,0.3068512973309478
2,3,0.2668158736810498,72.43341422080994,4933,0.90176,0.9015929599539444,0.267943892658939
3,3,0.2449342194020844,72.32217741012573,4933,0.90836,0.908275008209647,0.2664245392219119
4,3,0.2174835446588031,73.26806235313416,4933,0.9126,0.9125358602372586,0.2664263610723914
5,3,0.2038475531040173,74.74199914932251,4933,0.91348,0.9134051508762112,0.274240553188385
6,3,0.1914911897674903,74.26192355155945,4933,0.91636,0.9163271969142784,0.3013230171328695
7,3,0.1767307127308179,75.32185411453247,4933,0.91664,0.9166175734625586,0.3318906775553563
8,3,0.162487099052828,75.85082483291626,4933,0.91388,0.9138145375217068,0.3554981938936888
9,3,0.1504723697272846,76.12026309967041,4933,0.9134,0.9133412382882043,0.3803999206326516
10,3,0.14122481430417327,75.92394471168518,4933,0.91196,0.9118883308141563,0.3859801697696697
