round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,2,0.2398498421549608,141.1094627380371,20242,0.9213157894736842,0.9213337761594944,0.2357708586364233
2,2,0.1644930251495909,146.07912397384644,20242,0.9346052631578948,0.9346749052974404,0.2196069605210248
3,2,0.1458337813215609,145.36196494102478,20242,0.9373684210526316,0.9374746182807248,0.2168566115638789
4,2,0.1347532719550257,146.7924587726593,20242,0.939342105263158,0.9394931410230328,0.2201735797424276
5,2,0.1249068983570094,146.3440809249878,20242,0.94,0.9401578298414688,0.2295329302956326
6,2,0.118134166356794,144.42758584022522,20242,0.9405263157894737,0.9406397880745512,0.2364523922633223
7,2,0.1105857362549922,147.55084085464478,20242,0.9419736842105264,0.9420639025493706,0.2505646600787128
8,2,0.1032757134740292,146.55825018882751,20242,0.9373684210526316,0.937464036563806,0.2710850424908039
9,2,0.09822422399010515,147.99781346321106,20242,0.9394736842105263,0.9395432086606007,0.2772946706151261
