round,client_id,client_loss,client_time,num_samples,global_accuracy,global_macro_f1,global_eval_loss
1,0,0.2159770172309028,181.3920929431916,25224,0.9213157894736842,0.9213337761594944,0.2357708586364233
2,0,0.1440879469932297,190.3196699619293,25224,0.9346052631578948,0.9346749052974404,0.2196069605210248
3,0,0.1256575826685415,188.01114225387573,25224,0.9373684210526316,0.9374746182807248,0.2168566115638789
4,0,0.1164815989225517,189.5046169757843,25224,0.939342105263158,0.9394931410230328,0.2201735797424276
5,0,0.0994043856074935,191.68832445144653,25224,0.94,0.9401578298414688,0.2295329302956326
6,0,0.0951388932873194,185.9860246181488,25224,0.9405263157894737,0.9406397880745512,0.2364523922633223
7,0,0.0859168680383574,188.9842827320099,25224,0.9419736842105264,0.9420639025493706,0.2505646600787128
8,0,0.0784805266726372,189.18564176559448,25224,0.9373684210526316,0.937464036563806,0.2710850424908039
9,0,0.0714615379698154,192.25750541687012,25224,0.9394736842105263,0.9395432086606007,0.2772946706151261
