round,train_loss,eval_loss,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,micro_f1,auc,round_time,trainable_params,total_params,communication_cost_MB,client_avg_loss,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_0_loss,client_0_time,client_0_samples,client_1_loss,client_1_time,client_1_samples,client_2_loss,client_2_time,client_2_samples,client_3_loss,client_3_time,client_3_samples,client_4_loss,client_4_time,client_4_samples
1,0.2882630578551434,0.35037656879181145,0.86492,0.8720547869013406,0.86492,0.8642692828361411,0.864269282836141,0.86492,0.9517905024,207.27472805976868,887042,67249922,3.3837966918945312,0.3112195239444183,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.8642692828361411,0,1,0.16777042813461135,43.50746178627014,6904,0.33389585991116133,23.640240907669067,4345,0.39367227830471246,9.68016242980957,1734,0.35608227124202596,27.74199604988098,4933,0.3046767821295805,40.64385628700256,7084
2,0.2310663334218133,0.2632744702346185,0.88928,0.8907550509258064,0.8892800000000001,0.8891754127978849,0.8891754127978849,0.88928,0.9607589984,206.26181435585022,887042,67249922,3.3837966918945312,0.2435919521173477,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.8891754127978849,0,1,0.12417818205776038,39.83399558067322,6904,0.27248241645557914,24.843648433685303,4345,0.26813746824723866,10.025574445724487,1734,0.3013257749354569,28.247132778167725,4933,0.25183591889070334,40.52318739891052,7084
3,0.21479485940030088,0.2529206846833534,0.89364,0.8951354733353412,0.89364,0.8935392692412765,0.8935392692412765,0.89364,0.9639251712,205.47322249412537,887042,67249922,3.3837966918945312,0.22536647045848537,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.8935392692412765,0,1,0.11919698760741287,39.58009195327759,6904,0.25302261631826267,24.945492267608643,4345,0.24543251726058646,9.932663917541504,1734,0.27199466639834313,28.217058658599854,4933,0.2371855647078217,40.32788825035095,7084
4,0.20358098542565875,0.2497629619458371,0.89564,0.8975614264599483,0.89564,0.8955137536988111,0.895513753698811,0.89564,0.9654727968,204.9903039932251,887042,67249922,3.3837966918945312,0.21320874144778368,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.8955137536988111,0,1,0.11239774061228942,39.731083154678345,6904,0.24033881523920334,24.71085834503174,4345,0.2279743445746669,9.926634550094604,1734,0.26227179670579803,28.0382821559906,4933,0.22306101010696075,40.2700834274292,7084
5,0.19662541628145014,0.2427839704067506,0.8996,0.9006241208887158,0.8996,0.899535795496929,0.8995357954969289,0.8996,0.9665593024,204.74445509910583,887042,67249922,3.3837966918945312,0.20777812925287323,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.899535795496929,0,1,0.10583199210533942,39.50833010673523,6904,0.23136412784772212,24.643289804458618,4345,0.23644290515862473,9.953202247619629,1734,0.24460264237470997,27.97969341278076,4933,0.2206489787779698,40.21738386154175,7084
6,0.18444395577133463,0.24253813517006004,0.90256,0.9031250820349929,0.90256,0.902525841311788,0.9025258413117879,0.90256,0.9674039647999999,204.17318654060364,887042,67249922,3.3837966918945312,0.19715803116498143,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.902525841311788,0,1,0.09789976367244015,39.3739128112793,6904,0.2240340966895661,24.748358011245728,4345,0.2304588969831073,9.88820219039917,1734,0.23618415733467799,27.958863496780396,4933,0.19721324114511568,40.207300662994385,7084
7,0.17942058005531625,0.243562150579851,0.90432,0.9049220679328668,0.90432,0.9042844207580292,0.9042844207580292,0.90432,0.9682628928,204.82012343406677,887042,67249922,3.3837966918945312,0.19030332040865033,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.9042844207580292,0,1,0.09785647721340258,39.71098494529724,6904,0.21585069971350843,24.765869617462158,4345,0.2133488172511442,9.898946762084961,1734,0.23467396689175016,27.977649688720703,4933,0.18978664097344633,40.22367024421692,7084
8,0.1725047732051538,0.2422538388787252,0.90428,0.9053795215783964,0.90428,0.9042150499878399,0.9042150499878399,0.90428,0.9686874303999999,204.76726818084717,887042,67249922,3.3837966918945312,0.18571912409745372,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.9042844207580292,1,0,0.08863980968103365,39.44900727272034,6904,0.21345446568311138,24.792613983154297,4345,0.2208723055386762,9.892734050750732,1734,0.22467608717918203,27.94988250732422,4933,0.18095295240526543,40.242347955703735,7084
9,0.16705643732735137,0.246387337217741,0.90556,0.9064320171254603,0.9055599999999999,0.9055093165580677,0.9055093165580677,0.90556,0.9686278432,205.65656995773315,887042,67249922,3.3837966918945312,0.18061634180945482,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.9055093165580677,0,1,0.08524935839145824,39.241206407547,6904,0.20537949988947196,24.902686595916748,4345,0.21908905794587705,9.82446813583374,1734,0.21897447651740418,28.117276668548584,4933,0.17438931630306265,40.446284770965576,7084
10,0.16034759529725037,0.24777835020152353,0.90544,0.9064206012222618,0.90544,0.9053829275874701,0.9053829275874701,0.90544,0.9688530816,205.5503921508789,887042,67249922,3.3837966918945312,0.17323097972977913,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.9055093165580677,1,0,0.08495902506358645,39.682904958724976,6904,0.19811363660675638,24.629486799240112,4345,0.21012473386635475,9.853713989257812,1734,0.20690758634828826,28.169442415237427,4933,0.1660499167639098,40.4423291683197,7084
11,0.15333412515895437,0.2540994768014268,0.90652,0.9074556511686077,0.90652,0.9064663040261614,0.9064663040261614,0.90652,0.9688926208,204.44097757339478,887042,67249922,3.3837966918945312,0.16629029740998327,distilbert-base-uncased,imdb,F-DistilBERT-LoRA,5,1,dirichlet,0.9064663040261614,0,1,0.07688524027320522,38.99977231025696,6904,0.19519366121248288,24.724578380584717,4345,0.20032278118535465,9.962493419647217,1734,0.2029044837916939,28.010910987854004,4933,0.15614532058717973,40.311076402664185,7084
