round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,1,0.3338958599111613,23.640240907669067,4345,0.86492,0.8720547869013406,0.86492,0.8642692828361411,0.864269282836141,0.86492,0.9517905024,0.3503765687918114
2,1,0.2724824164555791,24.843648433685303,4345,0.88928,0.8907550509258064,0.8892800000000001,0.8891754127978849,0.8891754127978849,0.88928,0.9607589984,0.2632744702346185
3,1,0.2530226163182626,24.945492267608643,4345,0.89364,0.8951354733353412,0.89364,0.8935392692412765,0.8935392692412765,0.89364,0.9639251712,0.2529206846833534
4,1,0.2403388152392033,24.71085834503174,4345,0.89564,0.8975614264599483,0.89564,0.8955137536988111,0.895513753698811,0.89564,0.9654727968,0.2497629619458371
5,1,0.2313641278477221,24.64328980445861,4345,0.8996,0.9006241208887158,0.8996,0.899535795496929,0.8995357954969289,0.8996,0.9665593024,0.2427839704067506
6,1,0.2240340966895661,24.748358011245728,4345,0.90256,0.9031250820349928,0.90256,0.902525841311788,0.902525841311788,0.90256,0.9674039648,0.24253813517006
7,1,0.2158506997135084,24.76586961746216,4345,0.90432,0.9049220679328668,0.90432,0.9042844207580292,0.9042844207580292,0.90432,0.9682628928,0.243562150579851
8,1,0.2134544656831113,24.792613983154297,4345,0.90428,0.9053795215783964,0.90428,0.90421504998784,0.90421504998784,0.90428,0.9686874304,0.2422538388787252
9,1,0.2053794998894719,24.902686595916748,4345,0.90556,0.9064320171254604,0.90556,0.9055093165580675,0.9055093165580675,0.90556,0.9686278432,0.246387337217741
10,1,0.1981136366067563,24.629486799240112,4345,0.90544,0.9064206012222618,0.90544,0.90538292758747,0.90538292758747,0.90544,0.9688530816,0.2477783502015235
11,1,0.1951936612124828,24.72457838058472,4345,0.90652,0.9074556511686076,0.90652,0.9064663040261614,0.9064663040261614,0.90652,0.9688926208,0.2540994768014268
12,1,0.1866139119271846,24.700389623641968,4345,0.9068,0.907882647152316,0.9068,0.9067381135011856,0.9067381135011856,0.9068,0.9688989216,0.2552082402360104
13,1,0.1810384518192971,24.770204067230225,4345,0.9082,0.9085916439162732,0.9082,0.90817799665661,0.90817799665661,0.9082,0.9688627104,0.2652369344802311
14,1,0.1757962121628224,24.80002760887146,4345,0.90704,0.90754496451283,0.90704,0.9070111957880074,0.9070111957880072,0.90704,0.9683351936,0.2867658606651799
15,1,0.173102082191583,24.784255743026733,4345,0.90944,0.9097836780307448,0.90944,0.9094210082665716,0.9094210082665716,0.90944,0.9687306783999998,0.2804246671030969
16,1,0.1703644764938336,24.734229564666748,4345,0.90748,0.9086575640980292,0.90748,0.9074133018759198,0.9074133018759198,0.90748,0.9683071296,0.288285607119541
17,1,0.1659705969231093,24.68656539916992,4345,0.90768,0.9083758881951186,0.90768,0.907640654031968,0.9076406540319678,0.90768,0.9676449792,0.307327755557759
18,1,0.1629280750913655,24.76838707923889,4345,0.90928,0.9096159873497772,0.90928,0.9092613929234602,0.9092613929234602,0.90928,0.9682914816,0.30921525151833246
