round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,3,0.3560822712420259,27.74199604988098,4933,0.86492,0.8720547869013406,0.86492,0.8642692828361411,0.864269282836141,0.86492,0.9517905024,0.3503765687918114
2,3,0.3013257749354569,28.247132778167725,4933,0.88928,0.8907550509258064,0.8892800000000001,0.8891754127978849,0.8891754127978849,0.88928,0.9607589984,0.2632744702346185
3,3,0.2719946663983431,28.217058658599854,4933,0.89364,0.8951354733353412,0.89364,0.8935392692412765,0.8935392692412765,0.89364,0.9639251712,0.2529206846833534
4,3,0.262271796705798,28.0382821559906,4933,0.89564,0.8975614264599483,0.89564,0.8955137536988111,0.895513753698811,0.89564,0.9654727968,0.2497629619458371
5,3,0.2446026423747099,27.97969341278076,4933,0.8996,0.9006241208887158,0.8996,0.899535795496929,0.8995357954969289,0.8996,0.9665593024,0.2427839704067506
6,3,0.2361841573346779,27.9588634967804,4933,0.90256,0.9031250820349928,0.90256,0.902525841311788,0.902525841311788,0.90256,0.9674039648,0.24253813517006
7,3,0.2346739668917501,27.977649688720703,4933,0.90432,0.9049220679328668,0.90432,0.9042844207580292,0.9042844207580292,0.90432,0.9682628928,0.243562150579851
8,3,0.224676087179182,27.94988250732422,4933,0.90428,0.9053795215783964,0.90428,0.90421504998784,0.90421504998784,0.90428,0.9686874304,0.2422538388787252
9,3,0.2189744765174041,28.117276668548584,4933,0.90556,0.9064320171254604,0.90556,0.9055093165580675,0.9055093165580675,0.90556,0.9686278432,0.246387337217741
10,3,0.2069075863482882,28.169442415237427,4933,0.90544,0.9064206012222618,0.90544,0.90538292758747,0.90538292758747,0.90544,0.9688530816,0.2477783502015235
11,3,0.2029044837916939,28.010910987854004,4933,0.90652,0.9074556511686076,0.90652,0.9064663040261614,0.9064663040261614,0.90652,0.9688926208,0.2540994768014268
12,3,0.2027728298383623,27.990970611572266,4933,0.9068,0.907882647152316,0.9068,0.9067381135011856,0.9067381135011856,0.9068,0.9688989216,0.2552082402360104
13,3,0.191338676193723,27.930173635482788,4933,0.9082,0.9085916439162732,0.9082,0.90817799665661,0.90817799665661,0.9082,0.9688627104,0.2652369344802311
14,3,0.1922336372405194,28.1970808506012,4933,0.90704,0.90754496451283,0.90704,0.9070111957880074,0.9070111957880072,0.90704,0.9683351936,0.2867658606651799
15,3,0.1856932966249564,28.18703985214233,4933,0.90944,0.9097836780307448,0.90944,0.9094210082665716,0.9094210082665716,0.90944,0.9687306783999998,0.2804246671030969
16,3,0.1735150814659194,28.058048486709595,4933,0.90748,0.9086575640980292,0.90748,0.9074133018759198,0.9074133018759198,0.90748,0.9683071296,0.288285607119541
17,3,0.1691527920488786,28.018745183944706,4933,0.90768,0.9083758881951186,0.90768,0.907640654031968,0.9076406540319678,0.90768,0.9676449792,0.307327755557759
18,3,0.16706972312133964,28.01976203918457,4933,0.90928,0.9096159873497772,0.90928,0.9092613929234602,0.9092613929234602,0.90928,0.9682914816,0.30921525151833246
