round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,0,0.1677704281346113,43.50746178627014,6904,0.86492,0.8720547869013406,0.86492,0.8642692828361411,0.864269282836141,0.86492,0.9517905024,0.3503765687918114
2,0,0.1241781820577603,39.83399558067322,6904,0.88928,0.8907550509258064,0.8892800000000001,0.8891754127978849,0.8891754127978849,0.88928,0.9607589984,0.2632744702346185
3,0,0.1191969876074128,39.58009195327759,6904,0.89364,0.8951354733353412,0.89364,0.8935392692412765,0.8935392692412765,0.89364,0.9639251712,0.2529206846833534
4,0,0.1123977406122894,39.731083154678345,6904,0.89564,0.8975614264599483,0.89564,0.8955137536988111,0.895513753698811,0.89564,0.9654727968,0.2497629619458371
5,0,0.1058319921053394,39.50833010673523,6904,0.8996,0.9006241208887158,0.8996,0.899535795496929,0.8995357954969289,0.8996,0.9665593024,0.2427839704067506
6,0,0.0978997636724401,39.3739128112793,6904,0.90256,0.9031250820349928,0.90256,0.902525841311788,0.902525841311788,0.90256,0.9674039648,0.24253813517006
7,0,0.0978564772134025,39.71098494529724,6904,0.90432,0.9049220679328668,0.90432,0.9042844207580292,0.9042844207580292,0.90432,0.9682628928,0.243562150579851
8,0,0.0886398096810336,39.44900727272034,6904,0.90428,0.9053795215783964,0.90428,0.90421504998784,0.90421504998784,0.90428,0.9686874304,0.2422538388787252
9,0,0.0852493583914582,39.241206407547,6904,0.90556,0.9064320171254604,0.90556,0.9055093165580675,0.9055093165580675,0.90556,0.9686278432,0.246387337217741
10,0,0.0849590250635864,39.682904958724976,6904,0.90544,0.9064206012222618,0.90544,0.90538292758747,0.90538292758747,0.90544,0.9688530816,0.2477783502015235
11,0,0.0768852402732052,38.99977231025696,6904,0.90652,0.9074556511686076,0.90652,0.9064663040261614,0.9064663040261614,0.90652,0.9688926208,0.2540994768014268
12,0,0.0723851669786704,39.4534125328064,6904,0.9068,0.907882647152316,0.9068,0.9067381135011856,0.9067381135011856,0.9068,0.9688989216,0.2552082402360104
13,0,0.0668803427402895,39.31416130065918,6904,0.9082,0.9085916439162732,0.9082,0.90817799665661,0.90817799665661,0.9082,0.9688627104,0.2652369344802311
14,0,0.0620722673764383,39.40916895866394,6904,0.90704,0.90754496451283,0.90704,0.9070111957880074,0.9070111957880072,0.90704,0.9683351936,0.2867658606651799
15,0,0.0579105856379977,39.276673793792725,6904,0.90944,0.9097836780307448,0.90944,0.9094210082665716,0.9094210082665716,0.90944,0.9687306783999998,0.2804246671030969
16,0,0.0550816056698008,39.34152960777283,6904,0.90748,0.9086575640980292,0.90748,0.9074133018759198,0.9074133018759198,0.90748,0.9683071296,0.288285607119541
17,0,0.0471206696497069,39.02737236022949,6904,0.90768,0.9083758881951186,0.90768,0.907640654031968,0.9076406540319678,0.90768,0.9676449792,0.307327755557759
18,0,0.049412650470104486,39.14081692695618,6904,0.90928,0.9096159873497772,0.90928,0.9092613929234602,0.9092613929234602,0.90928,0.9682914816,0.30921525151833246
