round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,2,0.3936722783047124,9.68016242980957,1734,0.86492,0.8720547869013406,0.86492,0.8642692828361411,0.864269282836141,0.86492,0.9517905024,0.3503765687918114
2,2,0.2681374682472386,10.025574445724487,1734,0.88928,0.8907550509258064,0.8892800000000001,0.8891754127978849,0.8891754127978849,0.88928,0.9607589984,0.2632744702346185
3,2,0.2454325172605864,9.932663917541504,1734,0.89364,0.8951354733353412,0.89364,0.8935392692412765,0.8935392692412765,0.89364,0.9639251712,0.2529206846833534
4,2,0.2279743445746669,9.926634550094604,1734,0.89564,0.8975614264599483,0.89564,0.8955137536988111,0.895513753698811,0.89564,0.9654727968,0.2497629619458371
5,2,0.2364429051586247,9.953202247619627,1734,0.8996,0.9006241208887158,0.8996,0.899535795496929,0.8995357954969289,0.8996,0.9665593024,0.2427839704067506
6,2,0.2304588969831073,9.88820219039917,1734,0.90256,0.9031250820349928,0.90256,0.902525841311788,0.902525841311788,0.90256,0.9674039648,0.24253813517006
7,2,0.2133488172511442,9.89894676208496,1734,0.90432,0.9049220679328668,0.90432,0.9042844207580292,0.9042844207580292,0.90432,0.9682628928,0.243562150579851
8,2,0.2208723055386762,9.892734050750732,1734,0.90428,0.9053795215783964,0.90428,0.90421504998784,0.90421504998784,0.90428,0.9686874304,0.2422538388787252
9,2,0.219089057945877,9.82446813583374,1734,0.90556,0.9064320171254604,0.90556,0.9055093165580675,0.9055093165580675,0.90556,0.9686278432,0.246387337217741
10,2,0.2101247338663547,9.853713989257812,1734,0.90544,0.9064206012222618,0.90544,0.90538292758747,0.90538292758747,0.90544,0.9688530816,0.2477783502015235
11,2,0.2003227811853546,9.962493419647217,1734,0.90652,0.9074556511686076,0.90652,0.9064663040261614,0.9064663040261614,0.90652,0.9688926208,0.2540994768014268
12,2,0.2068194781404433,9.928791522979736,1734,0.9068,0.907882647152316,0.9068,0.9067381135011856,0.9067381135011856,0.9068,0.9688989216,0.2552082402360104
13,2,0.1976695015274603,9.993876218795776,1734,0.9082,0.9085916439162732,0.9082,0.90817799665661,0.90817799665661,0.9082,0.9688627104,0.2652369344802311
14,2,0.1954643902018529,9.979635000228882,1734,0.90704,0.90754496451283,0.90704,0.9070111957880074,0.9070111957880072,0.90704,0.9683351936,0.2867658606651799
15,2,0.1926696765313454,9.867618322372437,1734,0.90944,0.9097836780307448,0.90944,0.9094210082665716,0.9094210082665716,0.90944,0.9687306783999998,0.2804246671030969
16,2,0.1979106918250749,10.00601291656494,1734,0.90748,0.9086575640980292,0.90748,0.9074133018759198,0.9074133018759198,0.90748,0.9683071296,0.288285607119541
17,2,0.2062289919191544,9.971954107284546,1734,0.90768,0.9083758881951186,0.90768,0.907640654031968,0.9076406540319678,0.90768,0.9676449792,0.307327755557759
18,2,0.19404630711592666,9.788244247436523,1734,0.90928,0.9096159873497772,0.90928,0.9092613929234602,0.9092613929234602,0.90928,0.9682914816,0.30921525151833246
