round,train_loss,eval_loss,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,micro_f1,auc,round_time,trainable_params,total_params,communication_cost_MB,client_avg_loss,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_0_loss,client_0_time,client_0_samples,client_1_loss,client_1_time,client_1_samples,client_2_loss,client_2_time,client_2_samples,client_3_loss,client_3_time,client_3_samples,client_4_loss,client_4_time,client_4_samples
1,0.210016147684618,0.2724410241641918,0.9086842105263158,0.9096739636278526,0.9086842105263158,0.9088039080205585,0.9088039080205585,0.9086842105263158,0.0,293.16653323173523,888580,67251460,3.3896636962890625,0.2307901810583522,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9088039080205585,0,1,0.20141278640266758,59.10522723197937,25224,0.2835581240901614,12.034505605697632,5415,0.22820438070908353,46.85504746437073,20242,0.25574150929431255,41.44520616531372,16651,0.1850341047955359,120.03465747833252,52468
2,0.1530661760707598,0.21771218051679997,0.9236842105263158,0.92466886558094,0.9236842105263158,0.9237152504139836,0.9237152504139836,0.9236842105263158,0.0,295.9473285675049,888580,67251460,3.3896636962890625,0.16024266998989137,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9237152504139836,0,1,0.14463560889901167,62.0188148021698,25224,0.162540750862921,12.21007752418518,5415,0.16501615785568435,46.52741360664368,20242,0.18884406104369264,41.72738075256348,16651,0.14017677128814707,120.42317056655884,52468
3,0.1378074607860836,0.20276828122740032,0.9286842105263158,0.9293397998740687,0.9286842105263158,0.9287584457204384,0.9287584457204384,0.9286842105263158,0.0,296.88038539886475,888580,67251460,3.3896636962890625,0.1442184388396534,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9287584457204384,0,1,0.13042285604017617,62.02950429916382,25224,0.14126926807357984,12.216001033782959,5415,0.15136692973698296,46.585777282714844,20242,0.1736336408000647,41.44399046897888,16651,0.12439949954746336,120.8806824684143,52468
4,0.12960856057980483,0.1953669828401894,0.9322368421052631,0.9331041142163288,0.9322368421052631,0.932302784425365,0.932302784425365,0.9322368421052631,0.0,294.53148221969604,888580,67251460,3.3896636962890625,0.136101184657665,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.932302784425365,0,1,0.12463944391624858,62.391401529312134,25224,0.13182635611909277,12.020794153213501,5415,0.13994496373097762,46.054617404937744,20242,0.16872961352974347,40.91581678390503,16651,0.11536554599226248,119.99904489517212,52468
5,0.12136056130710063,0.19105982755412573,0.9365789473684211,0.9373852269762812,0.9365789473684211,0.9366854053319802,0.9366854053319802,0.9365789473684211,0.0,295.44773626327515,888580,67251460,3.3896636962890625,0.12738062970458927,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9366854053319802,0,1,0.11393800680496091,62.46138405799866,25224,0.11975306945250315,12.092577457427979,5415,0.13343433022946355,46.4255735874176,20242,0.1623487193101656,40.872082471847534,16651,0.10742902272585325,120.48818898200989,52468
6,0.11513756320713779,0.187902032546386,0.9365789473684211,0.9372420128677095,0.9365789473684211,0.9367103398742009,0.9367103398742008,0.9365789473684211,0.0,294.099524974823,888580,67251460,3.3896636962890625,0.12246431601229672,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9367103398742009,0,1,0.10832168317207516,61.82934522628784,25224,0.11903956503990819,12.230414390563965,5415,0.12771831244512757,45.63513898849487,20242,0.15754100429376805,41.32705473899841,16651,0.09970101511060464,119.7936463356018,52468
7,0.10942945046280116,0.18522268655796012,0.9385526315789474,0.9392259939902337,0.9385526315789474,0.9386375191531927,0.9386375191531926,0.9385526315789474,0.0,293.41255474090576,888580,67251460,3.3896636962890625,0.11747274686110779,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9386375191531927,0,1,0.10293343444608614,62.7403461933136,25224,0.11364173973527025,11.984524488449097,5415,0.12536545115336187,45.91362929344177,20242,0.1534113984790965,40.660752058029175,16651,0.09201171049172423,119.06151223182678,52468
8,0.10445831898877268,0.18348847411009445,0.9386842105263158,0.9396251059429017,0.9386842105263157,0.9388194892905452,0.9388194892905453,0.9386842105263158,0.0,294.0680048465729,888580,67251460,3.3896636962890625,0.11335806778101223,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9388194892905452,0,1,0.09928071892646782,61.959736347198486,25224,0.11288165127968088,12.303254842758179,5415,0.11934310078361965,46.45907211303711,20242,0.14912422070719458,40.54889893531799,16651,0.08616064720809823,119.78329515457153,52468
9,0.10096437200619449,0.1828685349025646,0.9414473684210526,0.9422761068728948,0.9414473684210526,0.9415374518400424,0.9415374518400426,0.9414473684210526,0.0,293.221994638443,888580,67251460,3.3896636962890625,0.11074310309853072,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9415374518400424,0,1,0.09658815908624645,61.726988554000854,25224,0.1122109661645749,12.093200922012329,5415,0.11772750569934153,46.06654596328735,20242,0.146059804851629,40.98976802825928,16651,0.0811290796908618,119.16344547271729,52468
10,0.09668437370716891,0.18540304360770377,0.9403947368421053,0.9412724101876415,0.9403947368421053,0.9405115739845598,0.9405115739845596,0.9403947368421053,0.0,294.58496832847595,888580,67251460,3.3896636962890625,0.10783220230884341,distilbert-base-uncased,ag_news,F-DistilBERT-LoRA,5,1,dirichlet,0.9415374518400424,1,0,0.0932279613874711,63.03899264335632,25224,0.11230440299738856,12.184347152709961,5415,0.11553685396533066,46.0356822013855,20242,0.14348278188230668,40.802154541015625,16651,0.07460901131172006,119.17725086212158,52468
