round,train_loss,eval_loss,accuracy,precision,recall,macro_f1,round_time,trainable_params,total_params,communication_cost_MB,client_avg_loss,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_0_loss,client_0_time,client_0_samples,client_1_loss,client_1_time,client_1_samples,client_2_loss,client_2_time,client_2_samples,client_3_loss,client_3_time,client_3_samples,client_4_loss,client_4_time,client_4_samples
1,0.22294149489509324,0.23577085863642333,0.9213157894736842,0.9229580935794829,0.9213157894736842,0.9213337761594943,868.734561920166,109485316,109485316,417.65333557128906,0.24748126290569877,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9213337761594943,0,1,0.21597701723090287,181.39209294319153,25224,0.31492235345606606,37.76422882080078,5415,0.23984984215496088,141.1094627380371,20242,0.27193050102959676,120.97148108482361,16651,0.19472660065696734,365.3894169330597,52468
2,0.14900938636844974,0.21960696052102482,0.9346052631578947,0.9354169921846802,0.9346052631578948,0.9346749052974405,898.3077132701874,109485316,109485316,417.65333557128906,0.15671301519394024,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9346749052974405,0,1,0.14408794699322974,190.31966996192932,25224,0.1576178550368565,38.735960245132446,5415,0.16449302514959097,146.07912397384644,20242,0.18393748366308832,124.80025744438171,16651,0.1334287651269356,376.5109055042267,52468
3,0.1304934292580369,0.2168566115638789,0.9373684210526316,0.9380602746202197,0.9373684210526316,0.9374746182807249,894.2530972957611,109485316,109485316,417.65333557128906,0.13836921848090283,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9374746182807249,0,1,0.1256575826685415,188.01114225387573,25224,0.13748752921380125,39.01932716369629,5415,0.14583378132156097,145.36196494102478,20242,0.16886712829461617,124.05583095550537,16651,0.11400007090599436,377.3899402618408,52468
4,0.11685360643912253,0.22017357974242763,0.9393421052631579,0.9399020954655216,0.939342105263158,0.9394931410230327,911.1639637947083,109485316,109485316,417.65333557128906,0.1263628190533492,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9394931410230327,0,1,0.1164815989225517,189.5046169757843,25224,0.12522384615417206,40.19236922264099,5415,0.1347532719550257,146.7924587726593,20242,0.15968528691961947,127.16722273826599,16651,0.09567009131537704,386.4163303375244,52468
5,0.10422719276629266,0.22953293029563265,0.94,0.9407170780320513,0.9400000000000001,0.9401578298414689,902.1108257770538,109485316,109485316,417.65333557128906,0.11627147481357722,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9401578298414689,0,1,0.09940438560749355,191.68832445144653,25224,0.12491000388751691,39.48393726348877,5415,0.12490689835700944,146.3440809249878,20242,0.15033594018973834,125.84123921394348,16651,0.08180014602612795,377.90178084373474,52468
6,0.09565657004553914,0.23645239226332232,0.9405263157894737,0.941000486777341,0.9405263157894737,0.9406397880745512,898.0973691940308,109485316,109485316,417.65333557128906,0.10916843879129992,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9406397880745512,0,1,0.09513889328731943,185.9860246181488,25224,0.11783885577168854,39.04531145095825,5415,0.11813416635679408,144.42758584022522,20242,0.14565241345411076,126.07775735855103,16651,0.06907786508658674,380.911274433136,52468
7,0.08589148232510566,0.25056466007871286,0.9419736842105263,0.942394237304047,0.9419736842105263,0.9420639025493706,900.0118598937988,109485316,109485316,417.65333557128906,0.10093005185916255,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9420639025493706,0,1,0.0859168680383574,188.9842827320099,25224,0.11114078426079764,40.275593757629395,5415,0.11058573625499227,147.55084085464478,20242,0.14063292611068282,124.17023253440857,16651,0.05637394463098267,378.26370763778687,52468
8,0.07777442630738195,0.2710850424908039,0.9373684210526316,0.9378027004960681,0.9373684210526316,0.937464036563806,902.546877861023,109485316,109485316,417.65333557128906,0.09515057893424395,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9420639025493706,1,0,0.07848052667263723,189.18564176559448,25224,0.11758802801227763,40.46645164489746,5415,0.10327571347402924,146.55825018882751,20242,0.12926028499256292,124.49786639213562,16651,0.04714834151971267,380.53442549705505,52468
9,0.0726440939934679,0.2772946706151261,0.9394736842105263,0.9398182334359149,0.9394736842105263,0.9395432086606007,911.69358253479,109485316,109485316,417.65333557128906,0.09083883064665582,bert-base-uncased,ag_news,F-BERT-base-FT,5,1,dirichlet,0.9420639025493706,2,0,0.0714615379698154,192.25750541687012,25224,0.11436427261537507,40.2088348865509,5415,0.09822422399010515,147.99781346321106,20242,0.12898661112046006,125.31973767280579,16651,0.04115750753752342,385.4414973258972,52468
