epoch,train_loss,eval_loss,accuracy,precision,recall,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.40647950694107965,0.23668588091955162,0.90464,0.9058552435894065,0.90464,0.904568562927323,306.34703612327576,109483778,109483778,bert-base-uncased,imdb,C-BERT-base-FFT,0.90464,0,1
2,0.22239733360092837,0.2041455391422867,0.91864,0.9186408680937042,0.9186399999999999,0.9186399578229542,306.01106882095337,109483778,109483778,bert-base-uncased,imdb,C-BERT-base-FFT,0.91864,0,1
3,0.14212874117678584,0.23648802398720667,0.91864,0.9186812009097292,0.91864,0.9186379983645806,305.6602404117584,109483778,109483778,bert-base-uncased,imdb,C-BERT-base-FFT,0.91864,1,0
4,0.08172203342996952,0.3243607289498419,0.91056,0.9121075621422872,0.91056,0.9104759539661527,304.20794677734375,109483778,109483778,bert-base-uncased,imdb,C-BERT-base-FFT,0.91864,2,0
5,0.05317384830210656,0.38788763536592885,0.9186,0.9186032818497297,0.9186000000000001,0.9185998404556872,303.8624813556671,109483778,109483778,bert-base-uncased,imdb,C-BERT-base-FFT,0.91864,3,0
