epoch,train_loss,eval_loss,accuracy,precision,recall,macro_f1,time_per_epoch,trainable_params,total_params,communication_cost_mb,client_avg_loss,client_0_loss,client_0_time,client_0_samples,client_1_loss,client_1_time,client_1_samples,client_2_loss,client_2_time,client_2_samples,client_3_loss,client_3_time,client_3_samples,client_4_loss,client_4_time,client_4_samples
1,0.24510867135973394,0.2710165529190993,0.9153947368421053,0.9173307198031965,0.9153947368421053,0.9155370706639192,352.56317257881165,66956548,66956548,255.41896057128906,0.28659291000124687,0.23236674576506716,77.43251276016235,25224,0.42344473197179683,14.52237606048584,5415,0.26652411782251906,57.669546127319336,20242,0.30510072397236176,47.629512310028076,16651,0.20552823047448948,142.35367488861084,52468
2,0.14862441862142786,0.21446585517470576,0.9267105263157894,0.9275176550382662,0.9267105263157894,0.9267724441421228,345.0650203227997,66956548,66956548,255.41896057128906,0.1585345153991721,0.14158087783742163,72.66873526573181,25224,0.1672557285603355,14.536033630371094,5415,0.16494701124763037,54.791940689086914,20242,0.18740595021998355,47.6964008808136,16651,0.13148300913048955,142.3870391845703,52468
3,0.1292928836418784,0.20542675394470952,0.9335526315789474,0.9344478416630202,0.9335526315789473,0.9336843635130166,344.2614634037018,66956548,66956548,255.41896057128906,0.13798274595908272,0.12377202127445182,73.21230053901672,25224,0.13946923593826155,14.506768941879272,5415,0.1447285224005321,54.71328043937683,20242,0.16988400113902943,47.47229886054993,16651,0.11205994904313872,142.58794832229614,52468
4,0.11613311869181517,0.19916302216153184,0.9373684210526316,0.9381055979569013,0.9373684210526316,0.9375117931115919,344.1006419658661,66956548,66956548,255.41896057128906,0.12546242697367144,0.11200225693191412,72.61017274856567,25224,0.12838986993712537,14.431685447692871,5415,0.13434002480188628,54.83146953582764,20242,0.15512407996160857,47.708566427230835,16651,0.09745590323582291,142.3160262107849,52468
5,0.10732439869437174,0.1954944197933714,0.9386842105263158,0.9392115982612558,0.9386842105263158,0.9387959879957234,344.137629032135,66956548,66956548,255.41896057128906,0.11824213948987423,0.10492277997150469,73.86870527267456,25224,0.12555182360879638,14.438379287719727,5415,0.12512272016084966,54.675036668777466,20242,0.1491583347778174,47.07690763473511,16651,0.08645503893040302,142.29013562202454,52468
6,0.097929637562721,0.19751672881866703,0.9394736842105263,0.9399701057045338,0.9394736842105262,0.93958423105029,345.05995655059814,66956548,66956548,255.41896057128906,0.11177673447099275,0.09686890804457876,73.65760731697083,25224,0.12920293439837063,14.617024660110474,5415,0.11806147479294765,54.68735933303833,20242,0.14096157478022026,47.49702477455139,16651,0.07378878033884642,142.61141180992126,52468
7,0.09019564248218062,0.20462290587357612,0.940921052631579,0.9414755710065308,0.940921052631579,0.9409937253085185,344.37577199935913,66956548,66956548,255.41896057128906,0.10385272813440893,0.09008986957097385,73.03629326820374,25224,0.11683140160406337,14.578158855438232,5415,0.11232773841419044,54.736740827560425,20242,0.13540211509941807,47.41166949272156,16651,0.06461251598339891,142.32561826705933,52468
8,0.08381235769673634,0.20829406112995968,0.9407894736842105,0.9412885739468253,0.9407894736842105,0.9409017492040611,343.93838381767273,66956548,66956548,255.41896057128906,0.09994559322508775,0.08656375535559593,72.57411599159241,25224,0.12052118298323715,14.463928461074829,5415,0.10611631619298204,54.80574369430542,20242,0.1315943106236705,47.63611650466919,16651,0.05493240096995312,141.8852665424347,52468
9,0.07776309277290704,0.21602698410822063,0.9402631578947368,0.9406580194874399,0.9402631578947368,0.9403724786482183,342.8099775314331,66956548,66956548,255.41896057128906,0.0946406443604191,0.0788399982342853,71.91319870948792,25224,0.11637557950966498,14.51133418083191,5415,0.10202004489199057,54.632683753967285,20242,0.1280124099592673,47.65405774116516,16651,0.04795518920688731,142.40531659126282,52468
10,0.07216833470876276,0.2283341414882105,0.9393421052631579,0.9397856200847821,0.9393421052631579,0.9394549190665444,343.18793654441833,66956548,66956548,255.41896057128906,0.09100080782982833,0.07445310268678593,72.09509801864624,25224,0.1197690461488331,14.457706689834595,5415,0.09926679846941013,54.6604106426239,20242,0.12145312716058257,47.47585988044739,16651,0.04006196468352999,142.07653498649597,52468
